smiles,absorption wave length
O=[N+]([O-])c1ccc(SCc2c(F)cccc2Cl)nc1,337.63
CN1CCN(c2cc(-c3cccnc3)nc3ccccc23)CC1,341.71
O=C1C=CC(=O)N1c1cc(F)ccc1F,394.26
Cc1cccc(N2C(=O)N=C(O)/C(=C\C=C\c3ccco3)C2=O)c1,439.9
CCOC(=O)C1=C(C)NC(=O)N[C@@H]1c1ccc(N(C)CC)cc1,329.41
O=C(C[C@@H](C(=O)O)N1CCCC1)c1ccc(Cl)cc1,338.33
CCCc1cc(=O)c2c(O)cccc2o1,343.66
CCOc1ccc(OCC(=O)N[C@H](C)c2ccccc2)cc1,262.0
CCOC(=O)C1CCN(c2ccc(Cl)nn2)CC1,337.53
Cc1c(-c2ccccc2)oc2c(C(=O)O)cccc2c1=O,353.38
CCC[C@H](C#CCN1CCCCC1)OC(C)=O,219.71
Cc1ccc(C)c(NC(=O)CSc2nnc(-c3ccccc3)o2)c1,310.25
O=C(Nc1ccccc1C#Cc1ccccc1)c1ccco1,335.16
Cc1cc(C)n([C@H](C[N+](=O)[O-])c2cccc(Cl)c2)n1,320.65
O=C(O)c1cc(-c2ccc(-c3ccccc3)cc2)oc1C(F)(F)F,315.36
COc1ccc(OC[C@H](O)CNC(=O)Nc2cc(F)ccc2C)cc1,256.81
Cc1ccc2c(Cl)c(C(=O)NCc3ccncc3)sc2c1,294.19
CCN1C(=O)[C@](O)(CC(=O)c2ccc3c(c2)OCO3)c2ccccc21,335.19
COC(=O)c1ccc([C@@H]2NC(=O)CC[C@@H]2[N+](=O)[O-])cc1,307.41
Cc1ccc(Sc2c(C)nn(C(=O)c3cccnc3)c2C)cc1,358.62
CCOC(=O)c1c(NC(=O)c2ccoc2C)sc2c1CCCC2,335.84
COCC(=O)Nc1cc([N+](=O)[O-])ccc1OC,335.15
COc1ccccc1N1C(=O)[C@H]2[C@@H]3C=C[C@H]([C@H]2C1=O)C31CC1,258.63
O=C1C=C(NCc2ccccc2)CC1,303.35
COc1ccc([C@@H]2NCCc3cc(OC)c(OC)cc32)cc1OC,257.35
CC(C)(C)OC(=O)N1CCNCC1,184.72
C[C@@H](NC(=O)COc1cccc(Cl)c1)c1ccccc1,242.93
COc1ccc(-c2noc(COc3ccc(C)cc3C)n2)cc1OC,304.18
O=C=Nc1ccc(CCl)cc1,248.77
CC(C)N(Cc1ccccc1)C(=O)CN1C(=O)c2ccccc2C1=O,324.78
C[C@@H]1CCC[C@@H](C)N1C(=O)c1cc2ccccc2oc1=O,356.68
COc1ccc(-c2nc3ccccc3o2)cc1NC(C)=O,301.85
O=C(c1ccncc1)c1ccc(Cl)cc1,356.15
CCOc1ccccc1Nc1cc(C)nc2ccc(OC)cc12,319.6
CC(C)[C@@H](NC(=O)c1ccccc1)C(=O)OCc1ccccc1,278.21
CCOC(=O)c1ccc(Nc2c3c(nc4ccccc24)CCC3)cc1,336.08
C[C@H]1Cc2cc(/C=C3/N=C(c4cccc(F)c4)OC3=O)ccc2O1,395.91
Cc1cccc(C)c1NC(=O)CSCc1ccc2c(c1)OCO2,272.26
COC(=O)c1cn(C(=O)CCc2ccccc2)c2ccccc12,290.22
O=C(Nc1ccc2c(c1)COCO2)c1sc2ccccc2c1Cl,327.56
CC1(C)[C@@H]2CC[C@@]1(C)/C(=N/OC(=O)c1cccnc1Cl)C2,259.39
CCOC(=O)CC[C@H]1CCC[C@@H](C(=O)OCC)C1,217.31
O=c1c2ccccc2cnn1-c1ccc(Cl)nn1,334.5
Cc1cc(C)c2oc(-c3ccc(N)cc3O)nc2c1,315.03
O=C(COc1ccccc1)Nc1ccc(C(=O)O)cc1,269.35
CCOC(=O)/C(C#N)=C/c1ccc(C#N)cc1,312.99
Cc1ccc(N[C@H]2OC(=O)c3ccccc32)cc1F,331.4
Cc1ccc(OCC(=O)Nc2cccc3nsnc23)cc1,446.71
CCOC(=O)c1nnn(-c2nonc2-n2cccc2)c1CCl,381.76
CCN1CCC(=O)N(c2c(C)cccc2C)C1=S,365.89
CC(=O)Oc1ccc(C(=O)NCCc2ccccc2)cc1,274.45
NC(=O)CCOC1CCN(C(c2ccccc2)c2ccccc2)CC1,255.3
