smiles,absorption wave length
O=C(N/N=C/c1ccco1)c1cccs1,350.82
Cc1ccc(NC(=O)CCl)cc1[N+](=O)[O-],339.28
Cn1cnc2c(NCCc3ccccc3)ncnc21,254.74
O=C(Nc1nc2ccccc2s1)[C@@H]1C[C@H]2CC[C@@H]1C2,270.42
CC(=O)N(C)c1ccc(/N=C/c2ccc(Cl)cc2)cc1,362.08
O=C1OC(c2ccc(Cl)c([N+](=O)[O-])c2)=N/C1=C/c1ccco1,414.28
COc1ccc(/C=C/C(=O)Nc2ccccc2)cc1,328.43
COc1ccc(/C=C/C(=O)Nc2ccccn2)cc1,317.7
O=C1OC(c2ccccc2F)=N/C1=C/c1cccc(F)c1,375.78
CCOC(=O)c1cnc2cc(=O)[nH]n2c1C,381.96
N/C(S)=N/N=C/c1cccc([N+](=O)[O-])c1,394.36
Cc1ccc(NS(C)(=O)=O)cc1Cl,253.74
O=[N+]([O-])c1ccc([C@H](O)CCl)cc1,329.57
C[C@@H](CC(=O)O)N[C@H](C)c1ccccc1,233.22
S=C(NCc1ccco1)Nc1ccc2[nH]ccc2c1,321.31
Cc1ccsc1/C=N/NC(=O)c1cccs1,351.75
C[C@H]1CCc2c(sc(NC(=O)/C=C/c3ccco3)c2C#N)C1,392.47
N#Cc1cc(F)cc(-c2ccc3c(c2)C2(CCCC2)C(=O)N3)c1,317.6
Cc1ccc(/C=N/NC(=O)c2cccc(O)c2)cc1,312.44
C(=N/c1ccc2[nH]ncc2c1)\c1ccc2c(c1)OCO2,347.26
CN1C(=O)C[C@@H]2C[C@@]1(C)Oc1ccccc12,244.8
Cc1cccc(NS(C)(=O)=O)c1,247.47
Cc1nn(C[C@H](C)N)c2cc(F)c(F)cc12,280.83
COc1ccccc1/C=N/NC(=O)c1c[nH]c(=O)[nH]c1=O,328.61
O=C(N/N=C/c1cc2c(cc1Cl)OCO2)c1ccncc1,358.64
Nc1cc(N)cc(Oc2cc(N)cc(N)c2)c1,263.05
CCOC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])cc1,346.18
C[C@@H]1CCc2c(sc(NC(=O)/C=C/c3ccco3)c2C#N)C1,384.67
COc1ccccc1NC(=O)c1cc[nH]n1,279.91
COc1ccccc1NC(=O)Nc1ccc(C#N)cc1O,304.59
Fc1cccc2c(N3CCc4ccccc4C3)ccnc12,306.75
O=C(Nc1ccccc1Cl)N1CCCCC1,247.73
O=C1O[C@H]([C@H]2OC(=O)c3ccccc32)c2ccccc21,263.28
CN1C(=O)C[C@H]2C[C@]1(C)Oc1ccccc12,244.8
CC(=O)N(C)c1ccc(NC(=O)/C=C/C(=O)O)cc1,397.26
